,Category,Rating,Reviews
0,ART_AND_DESIGN,4.1,159
1,ART_AND_DESIGN,3.9,967
2,ART_AND_DESIGN,4.7,87510
3,ART_AND_DESIGN,4.5,215644
4,ART_AND_DESIGN,4.3,967
5,ART_AND_DESIGN,4.4,167
6,ART_AND_DESIGN,3.8,178
7,ART_AND_DESIGN,4.1,36815
8,ART_AND_DESIGN,4.4,13791
9,ART_AND_DESIGN,4.7,121
10,ART_AND_DESIGN,4.4,13880
11,ART_AND_DESIGN,4.4,8788
12,ART_AND_DESIGN,4.2,44829
13,ART_AND_DESIGN,4.6,4326
14,ART_AND_DESIGN,4.4,1518
16,ART_AND_DESIGN,4.7,3632
17,ART_AND_DESIGN,4.5,27
18,ART_AND_DESIGN,4.3,194216
19,ART_AND_DESIGN,4.6,224399
20,ART_AND_DESIGN,4.0,450
21,ART_AND_DESIGN,4.1,654
22,ART_AND_DESIGN,4.7,7699
24,ART_AND_DESIGN,4.7,118
25,ART_AND_DESIGN,4.8,192
26,ART_AND_DESIGN,4.7,20260
27,ART_AND_DESIGN,4.1,203
28,ART_AND_DESIGN,3.9,136
29,ART_AND_DESIGN,4.1,223
30,ART_AND_DESIGN,4.2,1120
31,ART_AND_DESIGN,4.1,227
32,ART_AND_DESIGN,4.5,5035
33,ART_AND_DESIGN,4.2,1015
34,ART_AND_DESIGN,4.7,353
35,ART_AND_DESIGN,3.8,564
36,ART_AND_DESIGN,4.7,8145
37,ART_AND_DESIGN,4.1,36639
38,ART_AND_DESIGN,4.7,158
39,ART_AND_DESIGN,4.0,591
40,ART_AND_DESIGN,4.2,117
41,ART_AND_DESIGN,4.5,176
42,ART_AND_DESIGN,4.4,295221
43,ART_AND_DESIGN,3.8,2206
44,ART_AND_DESIGN,4.2,26
45,ART_AND_DESIGN,4.7,174531
46,ART_AND_DESIGN,4.6,1070
47,ART_AND_DESIGN,4.2,85
48,ART_AND_DESIGN,4.3,845
49,AUTO_AND_VEHICLES,4.2,367
50,AUTO_AND_VEHICLES,4.0,1598
51,AUTO_AND_VEHICLES,3.8,284
52,AUTO_AND_VEHICLES,4.6,17057
53,AUTO_AND_VEHICLES,3.9,129
54,AUTO_AND_VEHICLES,4.3,542
55,AUTO_AND_VEHICLES,4.9,10479
56,AUTO_AND_VEHICLES,4.4,805
57,AUTO_AND_VEHICLES,4.2,129
58,AUTO_AND_VEHICLES,4.0,1403
59,AUTO_AND_VEHICLES,3.9,3971
60,AUTO_AND_VEHICLES,4.6,534
61,AUTO_AND_VEHICLES,4.9,7774
62,AUTO_AND_VEHICLES,4.3,38846
63,AUTO_AND_VEHICLES,4.6,2431
64,AUTO_AND_VEHICLES,4.9,6090
65,AUTO_AND_VEHICLES,3.9,295
66,AUTO_AND_VEHICLES,4.0,190
67,AUTO_AND_VEHICLES,4.3,40211
68,AUTO_AND_VEHICLES,3.9,356
69,AUTO_AND_VEHICLES,4.2,52530
70,AUTO_AND_VEHICLES,4.8,116986
71,AUTO_AND_VEHICLES,3.6,1379
72,AUTO_AND_VEHICLES,4.2,271920
73,AUTO_AND_VEHICLES,4.8,736
74,AUTO_AND_VEHICLES,4.8,7021
75,AUTO_AND_VEHICLES,4.6,197
76,AUTO_AND_VEHICLES,4.5,737
77,AUTO_AND_VEHICLES,4.3,3574
78,AUTO_AND_VEHICLES,4.5,994
79,AUTO_AND_VEHICLES,4.9,197136
80,AUTO_AND_VEHICLES,3.9,142
81,AUTO_AND_VEHICLES,4.4,15168
82,AUTO_AND_VEHICLES,4.0,2155
83,AUTO_AND_VEHICLES,4.3,138
84,AUTO_AND_VEHICLES,3.7,5414
85,AUTO_AND_VEHICLES,4.4,21777
86,AUTO_AND_VEHICLES,4.3,348
87,AUTO_AND_VEHICLES,3.2,250
88,AUTO_AND_VEHICLES,4.6,13372
89,AUTO_AND_VEHICLES,4.6,7880
90,AUTO_AND_VEHICLES,4.5,3617
91,AUTO_AND_VEHICLES,3.7,4806
92,AUTO_AND_VEHICLES,4.6,65786
93,AUTO_AND_VEHICLES,4.6,31433
94,AUTO_AND_VEHICLES,4.6,5097
95,AUTO_AND_VEHICLES,4.0,1754
96,AUTO_AND_VEHICLES,4.4,2680
97,AUTO_AND_VEHICLES,4.0,1288
98,BEAUTY,4.7,18900
99,BEAUTY,4.9,49790
100,BEAUTY,4.7,1150
101,BEAUTY,3.9,1739
102,BEAUTY,3.9,32090
103,BEAUTY,4.2,2225
104,BEAUTY,4.6,4369
105,BEAUTY,4.3,8572
106,BEAUTY,4.7,964
107,BEAUTY,4.7,42050
108,BEAUTY,4.8,104
109,BEAUTY,4.2,17934
110,BEAUTY,4.3,601
111,BEAUTY,4.5,36
112,BEAUTY,4.1,187
114,BEAUTY,4.2,30
115,BEAUTY,4.5,134
116,BEAUTY,4.4,74
117,BEAUTY,4.0,113715
118,BEAUTY,4.1,3595
119,BEAUTY,4.1,9315
120,BEAUTY,4.4,75
121,BEAUTY,4.6,38
122,BEAUTY,4.5,26834
124,BEAUTY,3.9,2277
125,BEAUTY,4.4,2280
127,BEAUTY,4.6,184
128,BEAUTY,3.8,9
131,BEAUTY,4.0,364
132,BEAUTY,4.3,18
133,BEAUTY,4.5,473
135,BEAUTY,4.1,66
136,BEAUTY,3.7,3871
137,BEAUTY,4.7,257
138,BEAUTY,4.2,62
139,BOOKS_AND_REFERENCE,4.6,2914724
140,BOOKS_AND_REFERENCE,4.5,1857
141,BOOKS_AND_REFERENCE,4.6,4478
142,BOOKS_AND_REFERENCE,4.4,577550
143,BOOKS_AND_REFERENCE,4.2,814080
144,BOOKS_AND_REFERENCE,4.5,246315
145,BOOKS_AND_REFERENCE,4.5,454060
146,BOOKS_AND_REFERENCE,4.5,155446
147,BOOKS_AND_REFERENCE,4.5,418
148,BOOKS_AND_REFERENCE,4.4,22486
149,BOOKS_AND_REFERENCE,4.5,203130
150,BOOKS_AND_REFERENCE,4.6,1435
151,BOOKS_AND_REFERENCE,4.8,116507
152,BOOKS_AND_REFERENCE,3.9,1433233
153,BOOKS_AND_REFERENCE,4.6,90468
154,BOOKS_AND_REFERENCE,4.2,860
